,1y_ret,1y_ret_ward,Price,Year,Type,Ward
65,0.17124717034521808,0.28528225806451624,1275000.0,2014,D,Cobham and Downside
81,0.022621584066697675,0.054117647058823604,1344000.0,2015,D,Cobham and Downside
97,-0.18551066657579074,-0.1244419642857143,1176750.0,2016,D,Cobham and Downside
113,0.08216524294904426,0.12173358827278524,1320000.0,2017,D,Cobham and Downside
129,-0.12088445003669923,-0.11742424242424243,1165000.0,2018,D,Cobham and Downside
145,-0.008435696314932684,-0.0429184549356223,1115000.0,2019,D,Cobham and Downside
161,-0.06245996156310052,0.008968609865470878,1125000.0,2020,D,Cobham and Downside
177,-0.004444444444444251,0.04888888888888898,1180000.0,2021,D,Cobham and Downside
209,-0.13439849624060152,-0.1607142857142857,235000.0,2011,F,Cobham and Downside
225,0.31871765382403683,0.3457446808510638,316250.0,2012,F,Cobham and Downside
241,-0.3633035157062616,-0.31067193675889326,218000.0,2013,F,Cobham and Downside
257,0.03885321100917438,0.12385321100917435,245000.0,2014,F,Cobham and Downside
273,0.3301514154048715,0.4591836734693877,357500.0,2015,F,Cobham and Downside
289,-0.3312972741544169,-0.22517482517482512,277000.0,2016,F,Cobham and Downside
305,0.14844205842780456,0.17870036101083042,326500.0,2017,F,Cobham and Downside
321,-0.08143481485056847,-0.0964777947932619,295000.0,2018,F,Cobham and Downside
337,0.6283513097072418,0.6101694915254237,475000.0,2019,F,Cobham and Downside
353,-0.12631578947368416,-0.12631578947368416,415000.0,2020,F,Cobham and Downside
369,-0.24234716644355192,-0.2349397590361446,317500.0,2021,F,Cobham and Downside
401,-0.033241379310344765,-0.016000000000000014,369000.0,2011,S,Cobham and Downside
417,0.18561389003720552,0.2195121951219512,450000.0,2012,S,Cobham and Downside
433,-0.0044626593806922354,0.061111111111111116,477500.0,2013,S,Cobham and Downside
449,-0.08642770841723713,0.03664921465968596,495000.0,2014,S,Cobham and Downside
465,-0.021142936211429264,0.07474747474747478,532000.0,2015,S,Cobham and Downside
481,-0.08186090225563891,0.005639097744360999,535000.0,2016,S,Cobham and Downside
