,yoy,cluster,Year,Type,Latitude,Longitude
123,-0.16596483840404253,8,2019,T,51.402144,-0.3572085
119,0.32533922372988333,8,2018,T,51.401788,-0.356649
115,-0.4285714285714286,8,2017,T,51.402375,-0.359431
111,-0.375,8,2016,T,51.402673,-0.358007
107,1.1733333333333333,8,2015,T,51.402673,-0.359431
103,-0.39432515337423313,8,2014,T,51.402375,-0.358007
99,-0.08837680425424155,8,2013,T,51.402258,-0.357014
95,-0.3716666666666667,8,2012,T,51.402375,-0.358592
91,0.09725906277630414,8,2011,T,51.402673,-0.35758100000000004
143,3.8666666666666663,9,2021,T,51.399211,-0.375449
142,-0.3282191780821918,9,2020,T,51.399305,-0.37544299999999997
141,-1.1407014681892333,9,2019,T,51.399211,-0.376441
140,-10.855072463768115,9,2018,T,51.395834,-0.375319
139,0.2647058823529411,9,2017,T,51.398759,-0.375778
138,-0.33720930232558144,9,2016,T,51.399211,-0.375929
137,0.05263157894736836,9,2015,T,51.399258,-0.375627
136,0.08333333333333326,9,2014,T,51.399211,-0.375449
135,0.23076923076923084,9,2013,T,51.399305,-0.375319
134,-0.37625,9,2012,T,51.399305,-0.375929
133,-0.5210420841683367,9,2011,T,51.399211,-0.375538
166,-0.45679012345679015,11,2021,D,51.376654,-0.3308225
164,0.6818181818181819,11,2020,D,51.374945000000004,-0.33074699999999996
162,0.16216216216216206,11,2019,D,51.3775205,-0.3306845
160,0.22093023255813948,11,2018,D,51.37758,-0.330176
158,-0.23809523809523814,11,2017,D,51.375159000000004,-0.33104100000000003
156,0.25412499999999993,11,2016,D,51.376323,-0.3320575
154,-0.13286155686235424,11,2015,D,51.376211999999995,-0.33012149999999996
152,-0.011494252873563204,11,2014,D,51.377274,-0.33182849999999997
150,-0.05232558139534882,11,2013,D,51.375381,-0.32928499999999994
148,-0.38650306748466257,11,2012,D,51.37527,-0.3284315
146,-0.55996,11,2011,D,51.375153,-0.33104100000000003
167,0.09991742361684564,11,2021,S,51.3769505,-0.32716100000000004
165,0.2357357357357357,11,2020,S,51.37758,-0.327441
163,-0.3377885783718104,11,2019,S,51.3794165,-0.32994350000000006
161,0.00917431192660545,11,2018,S,51.377043,-0.32759
159,-0.2545454545454545,11,2017,S,51.380583,-0.327811
157,0.46341463414634143,11,2016,S,51.381938,-0.327811
155,-0.1333333333333333,11,2015,S,51.37758,-0.327369
