,3y_ret,cluster,Year,Type,Lat,Lon
3,0.5436991297803562,0,2013,D,51.338992777777776,-0.3511536666666667
4,0.05906976744186054,0,2014,D,51.338992777777776,-0.3511536666666667
5,-0.19480830839269903,0,2015,D,51.338992777777776,-0.3511536666666667
6,-0.22072936660268716,0,2016,D,51.338992777777776,-0.3511536666666667
7,-0.14580588493631974,0,2017,D,51.338992777777776,-0.3511536666666667
8,-0.30470347648261764,0,2018,D,51.338992777777776,-0.3511536666666667
9,0.26847290640394084,0,2019,D,51.338992777777776,-0.3511536666666667
10,0.13367609254498714,0,2020,D,51.338992777777776,-0.3511536666666667
11,0.7908823529411764,0,2021,D,51.338992777777776,-0.3511536666666667
21,1.823529411764706,3,2013,F,51.37355608219178,-0.45120868493150684
24,0.31474103585657365,3,2014,F,51.37355608219178,-0.45120868493150684
27,-0.24,3,2015,F,51.37355608219178,-0.45120868493150684
30,-1.8770833333333332,3,2016,F,51.37355608219178,-0.45120868493150684
33,-2.324242424242424,3,2017,F,51.37355608219178,-0.45120868493150684
36,-0.4736842105263158,3,2018,F,51.37355608219178,-0.45120868493150684
39,-0.2874109263657957,3,2019,F,51.37355608219178,-0.45120868493150684
42,-1.4576659038901603,3,2020,F,51.37355608219178,-0.45120868493150684
45,5.3,3,2021,F,51.37355608219178,-0.45120868493150684
22,1.1428571428571428,3,2013,S,51.37355608219178,-0.45120868493150684
25,5.610009442870632,3,2014,S,51.37355608219178,-0.45120868493150684
28,2.7386569872958257,3,2015,S,51.37355608219178,-0.45120868493150684
31,-0.5766666666666667,3,2016,S,51.37355608219178,-0.45120868493150684
34,-0.5714285714285714,3,2017,S,51.37355608219178,-0.45120868493150684
37,-0.7330097087378641,3,2018,S,51.37355608219178,-0.45120868493150684
40,2.574803149606299,3,2019,S,51.37355608219178,-0.45120868493150684
43,0.20666666666666678,3,2020,S,51.37355608219178,-0.45120868493150684
46,0.4545454545454546,3,2021,S,51.37355608219178,-0.45120868493150684
23,-0.2575406032482599,3,2013,T,51.37355608219178,-0.45120868493150684
26,3.0184049079754605,3,2014,T,51.37355608219178,-0.45120868493150684
29,1.25,3,2015,T,51.37355608219178,-0.45120868493150684
32,5.25,3,2016,T,51.37355608219178,-0.45120868493150684
35,-0.23664122137404575,3,2017,T,51.37355608219178,-0.45120868493150684
38,-0.6272727272727272,3,2018,T,51.37355608219178,-0.45120868493150684
41,-0.7999499999999999,3,2019,T,51.37355608219178,-0.45120868493150684
44,1.02,3,2020,T,51.37355608219178,-0.45120868493150684
47,0.6260162601626016,3,2021,T,51.37355608219178,-0.45120868493150684
51,-0.5878378378378378,5,2013,F,51.37714194326241,-0.4097389361702128
52,-0.20353982300884954,5,2014,F,51.37714194326241,-0.4097389361702128
53,-0.012499999999999956,5,2015,F,51.37714194326241,-0.4097389361702128
54,1.557377049180328,5,2016,F,51.37714194326241,-0.4097389361702128
55,-0.3433333333333334,5,2017,F,51.37714194326241,-0.4097389361702128
56,0.1708860759493671,5,2018,F,51.37714194326241,-0.4097389361702128
57,0.21794871794871784,5,2019,F,51.37714194326241,-0.4097389361702128
58,0.3536379018612521,5,2020,F,51.37714194326241,-0.4097389361702128
59,-0.05945945945945941,5,2021,F,51.37714194326241,-0.4097389361702128
63,-0.3120700437773608,6,2013,S,51.402923880555555,-0.3699469166666668
64,0.6583333333333334,6,2014,S,51.402923880555555,-0.3699469166666668
65,0.2142857142857142,6,2015,S,51.402923880555555,-0.3699469166666668
66,0.5227272727272727,6,2016,S,51.402923880555555,-0.3699469166666668
67,-0.0653266331658291,6,2017,S,51.402923880555555,-0.3699469166666668
68,0.0235294117647058,6,2018,S,51.402923880555555,-0.3699469166666668
69,0.3492537313432835,6,2019,S,51.402923880555555,-0.3699469166666668
70,-0.6454301075268818,6,2020,S,51.402923880555555,-0.3699469166666668
71,-0.18678160919540232,6,2021,S,51.402923880555555,-0.3699469166666668
