,Price,Date,Year,Type,Lat,Lon,cluster
88,570000,2015-04-24,2015,S,51.40065451428571,-0.3631952285714286,19
89,650000,2016-04-14,2016,S,51.40065451428571,-0.3631952285714286,19
90,585000,2019-02-01,2019,S,51.40065451428571,-0.3631952285714286,19
91,640000,2019-10-31,2019,S,51.40065451428571,-0.3631952285714286,19
92,685000,2020-11-09,2020,S,51.40065451428571,-0.3631952285714286,19
93,715000,2020-07-27,2020,S,51.40065451428571,-0.3631952285714286,19
94,610000,2021-01-11,2021,S,51.40065451428571,-0.3631952285714286,19
95,675000,2021-06-30,2021,S,51.40065451428571,-0.3631952285714286,19
96,307000,2010-02-26,2010,S,51.40065451428571,-0.3631952285714286,19
97,330000,2011-06-13,2011,S,51.40065451428571,-0.3631952285714286,19
98,353500,2012-05-04,2012,S,51.40065451428571,-0.3631952285714286,19
99,370000,2014-04-03,2014,S,51.40065451428571,-0.3631952285714286,19
100,498000,2014-06-16,2014,S,51.40065451428571,-0.3631952285714286,19
101,705000,2021-09-23,2021,S,51.40065451428571,-0.3631952285714286,19
102,925000,2017-10-05,2017,S,51.40065451428571,-0.3631952285714286,19
103,610000,2012-01-20,2012,S,51.40065451428571,-0.3631952285714286,19
104,550000,2012-08-29,2012,S,51.40065451428571,-0.3631952285714286,19
105,640000,2014-06-30,2014,S,51.40065451428571,-0.3631952285714286,19
106,725000,2016-09-01,2016,S,51.40065451428571,-0.3631952285714286,19
107,585000,2016-02-02,2016,S,51.40065451428571,-0.3631952285714286,19
108,398000,2010-10-05,2010,S,51.40065451428571,-0.3631952285714286,19
109,315000,2011-07-29,2011,S,51.40065451428571,-0.3631952285714286,19
110,300000,2011-04-01,2011,S,51.40065451428571,-0.3631952285714286,19
111,430000,2012-04-02,2012,S,51.40065451428571,-0.3631952285714286,19
112,330000,2013-10-03,2013,S,51.40065451428571,-0.3631952285714286,19
113,560000,2015-07-02,2015,S,51.40065451428571,-0.3631952285714286,19
114,400000,2015-12-08,2015,S,51.40065451428571,-0.3631952285714286,19
115,510000,2017-05-12,2017,S,51.40065451428571,-0.3631952285714286,19
116,700000,2017-08-30,2017,S,51.40065451428571,-0.3631952285714286,19
117,480000,2018-10-19,2018,S,51.40065451428571,-0.3631952285714286,19
118,595000,2018-11-29,2018,S,51.40065451428571,-0.3631952285714286,19
119,422000,2018-01-26,2018,S,51.40065451428571,-0.3631952285714286,19
120,485000,2019-03-29,2019,S,51.40065451428571,-0.3631952285714286,19
121,583000,2021-03-05,2021,S,51.40065451428571,-0.3631952285714286,19
122,485000,2021-09-27,2021,S,51.40065451428571,-0.3631952285714286,19
