,5y_ret,5y_ret_ward,Price,Year,Type,Ward
497,-0.10123861566484527,0.35777777777777775,611000.0,2017,S,Cobham and Downside
513,-0.26419653644784535,0.12041884816753923,535000.0,2018,S,Cobham and Downside
529,-0.07443199114432009,0.12282828282828273,555800.0,2019,S,Cobham and Downside
545,-0.11176691729323318,0.043233082706766846,555000.0,2020,S,Cobham and Downside
561,0.07197335911483504,0.1869158878504673,635000.0,2021,S,Cobham and Downside
657,0.1494329168864077,0.4696969696969697,485000.0,2015,T,Cobham and Downside
673,-0.05779405881176225,0.4125000000000001,452000.0,2016,T,Cobham and Downside
689,0.37384615384615394,0.8738461538461539,609000.0,2017,T,Cobham and Downside
705,-0.20944444444444454,0.18518518518518512,480000.0,2018,T,Cobham and Downside
721,-0.08812821958430161,0.13335386510625202,460000.0,2019,T,Cobham and Downside
737,-0.27460168697282106,-0.09278350515463918,440000.0,2020,T,Cobham and Downside
753,-0.03755041839744755,0.05088495575221241,475000.0,2021,T,Cobham and Downside
82,-0.05230431031340044,0.1835564053537284,1547500.0,2015,D,Esher
98,-0.07999254112197218,0.2438169826875516,1508750.0,2016,D,Esher
114,-0.12101696668735773,0.2169459962756053,1633750.0,2017,D,Esher
130,-0.06239585088655475,0.20953397367484872,1700000.0,2018,D,Esher
146,-0.03418038654259137,0.06818181818181812,1645000.0,2019,D,Esher
162,-0.1208055346594481,0.024232633279483107,1585000.0,2020,D,Esher
178,-0.0530121056427435,0.08367854183927093,1635000.0,2021,D,Esher
274,-0.16262183235867456,0.12685185185185177,304250.0,2015,F,Esher
290,-0.07996486486486476,0.3849,346225.0,2016,F,Esher
306,-0.22947368421052627,0.24,310000.0,2017,F,Esher
322,-0.4978070175438597,-0.1228070175438597,375000.0,2018,F,Esher
338,-0.43970705343272276,-0.1954674220963173,284000.0,2019,F,Esher
354,0.3852229470259756,0.4872637633525061,452500.0,2020,F,Esher
370,-0.027446264786858965,-0.02375622788649001,338000.0,2021,F,Esher
466,-0.022167487684729092,0.3571428571428572,418000.0,2015,S,Esher
