,5y_ret,cluster,Year,Type,Lat,Lon
70,-0.1344329896907217,6,2020,S,51.402923880555555,-0.3699469166666668
71,-0.043617227530813096,6,2021,S,51.402923880555555,-0.3699469166666668
77,0.10237457845051812,7,2015,D,51.3724165,-0.42225552631578944
78,0.04656084656084669,7,2016,D,51.3724165,-0.42225552631578944
79,-0.16346631866766104,7,2017,D,51.3724165,-0.42225552631578944
80,0.10571650171505986,7,2018,D,51.3724165,-0.42225552631578944
81,-0.22093513232147144,7,2019,D,51.3724165,-0.42225552631578944
82,-0.7705326734334367,7,2020,D,51.3724165,-0.42225552631578944
83,0.0660120552206882,7,2021,D,51.3724165,-0.42225552631578944
104,0.10933795982955985,8,2015,D,51.402374888888886,-0.35657815873015875
108,0.2644257703081232,8,2016,D,51.402374888888886,-0.35657815873015875
112,-0.15821894515550605,8,2017,D,51.402374888888886,-0.35657815873015875
116,-0.15729567821993995,8,2018,D,51.402374888888886,-0.35657815873015875
120,-0.468184989534536,8,2019,D,51.402374888888886,-0.35657815873015875
124,0.36880798590722264,8,2020,D,51.402374888888886,-0.35657815873015875
128,0.18738342659205975,8,2021,D,51.402374888888886,-0.35657815873015875
105,0.4578381437464629,8,2015,F,51.402374888888886,-0.35657815873015875
109,-0.05153153153153145,8,2016,F,51.402374888888886,-0.35657815873015875
113,0.3726315789473684,8,2017,F,51.402374888888886,-0.35657815873015875
117,0.13424528301886784,8,2018,F,51.402374888888886,-0.35657815873015875
121,0.2414746543778803,8,2019,F,51.402374888888886,-0.35657815873015875
125,-0.09896389324960753,8,2020,F,51.402374888888886,-0.35657815873015875
129,0.22586971152730406,8,2021,F,51.402374888888886,-0.35657815873015875
106,-0.02437661875983954,8,2015,S,51.402374888888886,-0.35657815873015875
110,0.896557749432116,8,2016,S,51.402374888888886,-0.35657815873015875
114,0.1439247830279653,8,2017,S,51.402374888888886,-0.35657815873015875
118,-0.35454019664545977,8,2018,S,51.402374888888886,-0.35657815873015875
122,-0.3941514656824474,8,2019,S,51.402374888888886,-0.35657815873015875
126,-0.060797101449275415,8,2020,S,51.402374888888886,-0.35657815873015875
130,-0.04247876061969014,8,2021,S,51.402374888888886,-0.35657815873015875
107,-0.0221871297336389,8,2015,T,51.402374888888886,-0.35657815873015875
111,0.12024427724043996,8,2016,T,51.402374888888886,-0.35657815873015875
115,0.22058823529411775,8,2017,T,51.402374888888886,-0.35657815873015875
119,0.05631619720608794,8,2018,T,51.402374888888886,-0.35657815873015875
123,-0.01940761660544732,8,2019,T,51.402374888888886,-0.35657815873015875
127,0.1959595959595959,8,2020,T,51.402374888888886,-0.35657815873015875
131,-0.06689691261119846,8,2021,T,51.402374888888886,-0.35657815873015875
