,3y_ret,3y_ret_ward,Price,Year,Type,Ward
721,-0.0026954427788814517,0.017699115044247815,460000.0,2019,T,Cobham and Downside
737,-0.317504105090312,-0.277504105090312,440000.0,2020,T,Cobham and Downside
753,-0.07269259283848972,-0.01041666666666663,475000.0,2021,T,Cobham and Downside
50,-0.0005296453155687608,0.07495219885277238,1405500.0,2013,D,Esher
66,0.060055745298944085,0.26957955482275353,1540000.0,2014,D,Esher
82,-0.06026277674322378,0.15270018621973924,1547500.0,2015,D,Esher
98,-0.14583684397760677,0.07346140163642834,1508750.0,2016,D,Esher
114,-0.0769186522139278,0.06087662337662336,1633750.0,2017,D,Esher
130,-0.008324187004402628,0.09854604200323092,1700000.0,2018,D,Esher
146,0.08311230054895602,0.09030654515327252,1645000.0,2019,D,Esher
162,-0.06790161043939602,-0.029839326702371882,1585000.0,2020,D,Esher
178,-0.1278904665314401,-0.038235294117647034,1635000.0,2021,D,Esher
242,0.5307017543859649,0.5833333333333333,427500.0,2013,F,Esher
258,0.23902702702702694,0.4119999999999999,353000.0,2014,F,Esher
274,-0.07247368421052625,0.21700000000000008,304250.0,2015,F,Esher
290,-0.5451169590643274,-0.19011695906432746,346225.0,2016,F,Esher
306,-0.40844897586193385,-0.12181303116147313,310000.0,2017,F,Esher
322,0.1100900508107927,0.23253903040262935,375000.0,2018,F,Esher
338,-0.1760341309095812,-0.17972416780995015,284000.0,2019,F,Esher
354,0.4926287087531196,0.45967741935483875,452500.0,2020,F,Esher
370,-0.08775757575757581,-0.09866666666666668,338000.0,2021,F,Esher
434,0.035154500671742195,0.1558441558441559,356000.0,2013,S,Esher
450,-0.16505921993056982,0.07222891566265055,444975.0,2014,S,Esher
466,0.042370744010088446,0.3538461538461539,418000.0,2015,S,Esher
482,0.5154710458081246,0.853932584269663,660000.0,2016,S,Esher
498,-0.10675603600941108,0.11242204618236973,495000.0,2017,S,Esher
514,0.04246411483253598,0.16746411483253598,488000.0,2018,S,Esher
530,-0.265203761755486,-0.2606060606060606,488000.0,2019,S,Esher
546,-0.024565883554647616,0.013636363636363669,501750.0,2020,S,Esher
562,0.05695582877959926,0.13473360655737698,553750.0,2021,S,Esher
626,0.4197839567913584,0.5,487500.0,2013,T,Esher
642,-0.26592680855011575,-0.03768115942028982,415000.0,2014,T,Esher
658,0.0753488372093023,0.39534883720930236,450000.0,2015,T,Esher
674,-0.35598290598290605,0.00512820512820511,490000.0,2016,T,Esher
690,0.10380283348377217,0.32530120481927716,550000.0,2017,T,Esher
706,-0.11883838383838397,0.022222222222222143,460000.0,2018,T,Esher
722,-0.06019047619047624,-0.03979591836734697,470500.0,2019,T,Esher
738,-0.20818181818181825,-0.1681818181818182,457500.0,2020,T,Esher
754,0.13337624774122037,0.19565217391304346,550000.0,2021,T,Esher
51,-0.13635140938573242,-0.060869565217391286,540000.0,2013,D,Hersham Village
67,0.053102453102453095,0.26262626262626254,625000.0,2014,D,Hersham Village
83,-0.023824386183936896,0.18913857677902612,635000.0,2015,D,Hersham Village
