,3y_ret,cluster,Year,Type,Lat,Lon
76,0.20232804232804247,7,2014,D,51.3724165,-0.42225552631578944
77,0.05940840169028072,7,2015,D,51.3724165,-0.42225552631578944
78,-0.06736798409473255,7,2016,D,51.3724165,-0.42225552631578944
79,-0.03601143508687854,7,2017,D,51.3724165,-0.42225552631578944
80,-0.13434275648016103,7,2018,D,51.3724165,-0.42225552631578944
81,-0.09908613649620834,7,2019,D,51.3724165,-0.42225552631578944
82,-0.6323479980227384,7,2020,D,51.3724165,-0.42225552631578944
83,-0.08400545489966871,7,2021,D,51.3724165,-0.42225552631578944
96,0.6215380233813277,8,2013,D,51.402374888888886,-0.35657815873015875
100,1.6948879551820728,8,2014,D,51.402374888888886,-0.35657815873015875
104,-0.308678043653002,8,2015,D,51.402374888888886,-0.35657815873015875
108,-0.1656397090286692,8,2016,D,51.402374888888886,-0.35657815873015875
112,-0.6010864148310575,8,2017,D,51.402374888888886,-0.35657815873015875
116,0.29928361714621254,8,2018,D,51.402374888888886,-0.35657815873015875
120,0.15252797761790582,8,2019,D,51.402374888888886,-0.35657815873015875
124,0.12231507475354197,8,2020,D,51.402374888888886,-0.35657815873015875
128,0.16198596544178678,8,2021,D,51.402374888888886,-0.35657815873015875
97,0.37209960384833063,8,2013,F,51.402374888888886,-0.35657815873015875
101,-0.006306306306306242,8,2014,F,51.402374888888886,-0.35657815873015875
105,0.42105263157894735,8,2015,F,51.402374888888886,-0.35657815873015875
109,-0.15500000000000003,8,2016,F,51.402374888888886,-0.35657815873015875
113,0.04669738863287254,8,2017,F,51.402374888888886,-0.35657815873015875
117,0.10816640502354802,8,2018,F,51.402374888888886,-0.35657815873015875
121,0.23010513123999154,8,2019,F,51.402374888888886,-0.35657815873015875
125,-0.03562013917314777,8,2020,F,51.402374888888886,-0.35657815873015875
129,-0.011468706315562183,8,2021,F,51.402374888888886,-0.35657815873015875
98,0.18515226922621175,8,2013,S,51.402374888888886,-0.35657815873015875
102,1.4156328266060922,8,2014,S,51.402374888888886,-0.35657815873015875
106,0.04146576663452284,8,2015,S,51.402374888888886,-0.35657815873015875
110,-0.041469057258530784,8,2016,S,51.402374888888886,-0.35657815873015875
114,-0.3720278231244233,8,2017,S,51.402374888888886,-0.35657815873015875
